repo_url,filepath,Creation Date,PR Comment,PR/Issue Number
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-12-15T15:29:00Z,"Should have a `ifcuda(with_cuda=..., without_cuda=...)` function? 
This could be rewritten as 
```python
device = args.device if args.device is not None else ifcuda(""cuda"", ""cpu"") 
```",375
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-12-15T15:37:08Z,"Hmmmm... not convinced :-D because that function would be exactly

```
def ifcuda(a, b):
    return a if torch.cuda.is_available() else b
```

which isn't much different to just inlining that exact code",375
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-12-15T17:54:34Z,"Yes, it would be exactly this. 
Inlining that code would be 
```python
device = args.device if args.device is not None else ""cuda"" if torch.cuda.is_available() else ""cpu""
```
which is much less clear. 
I'll give it more thought :wink:",375
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-12-15T21:46:45Z,I’m ok with both :),375
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-12-15T15:00:00Z,Should be good for review!,375
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2021-01-04T09:19:34Z,Let's fix the linting and merge that. ,375
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T10:47:46Z,"This was the easiest (but maybe not the cleanest) way to make OLA work with any/unknown models, like in asteroid-infer. The alternative would be to add `n_src` to the `Separatable` interface (ie. the model)",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T10:48:39Z,"I didn't know where to stick all of this, so it lives in `asteroid.foo` for now :-D ",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T10:49:40Z,Protocols are a new feature in Python 3.8 that define an interface without requiring the implementing classes to inherit some abstract base class (ie. duck typing). It is used only for documentation right now,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T11:05:35Z,"Wasn't worth adding this to the protocol. 99% of the time a Separatable instance will be a `nn.Module`. For `LambdaOverlapAdd`, `get_device` infers the correct device from `.parameters()` (wich is identical to `.nnet.parameters()`)",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T11:07:32Z,Swapped order as noted in #279 ,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T11:08:12Z,Having one method start with `_` is a bit ugly but I didn't know how to change it without being backwards incompatible. We could name it `forward_separate()` and have that default to `_separate()` in `BaseModel` but not sure if it's worth it just for a pretty name,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T11:09:25Z,Removed these docstrings since these aren't actually function params,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T11:10:33Z,Fixed resample not being passed to separate,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T11:14:37Z,"Unrelated to this PR, but I think this is not very good design. You will always pass exactly 1 model, but N files. Usually you'd use a `--named-flag` for the model here, and unnamed/positional arguments for the files: `asteroid-infer -m mymodel file1.wav file2.wav ...`.",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T12:59:08Z,"How do you handle the docs then? 
![image](https://user-images.githubusercontent.com/18496796/98114600-c5afc500-1ea5-11eb-9118-a58adab8fce8.png)
",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:03:14Z,"Do you have pointers for CLI design ?
The current `asteroid-infer mymodel --files all.wav files.wav` seems equally OK to me. But I'm happy to question this. ",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:04:20Z,This line is way too long.. Black is supposed to handle that right? ,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:05:36Z,I'd do the opposite `--ola-no-reorder` or smth like this. It's better to reorder by default. ,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:06:31Z,"Oh yes, thanks. ",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:08:28Z,Cool. ,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:10:33Z,"One thing I don't like it that this won't have docs and the arguments are hidden. 
This is not so nice when working in interactive envs. ",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:14:53Z,"Side note: Even without backward compat concers, I would have liked it this way. 

```python
from asteroid import ConvTasNet

model = ConvTasNet.from_pretrained("""")
model.separate("""")
```

seems nicer 

```python
from asteroid import ConvTasNet
from asteroid.foo import separate

model = ConvTasNet.from_pretrained("""")
separate(model, """")
```

So we can remove the ""Backwards compatibility"" ",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:17:02Z,`separate`-able?,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:19:49Z,"I understand the current goal of `Separatable` and I'll look more into `Protocol` later, thanks for the explanation.",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:23:08Z,Got it and agree. ,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:24:13Z,"Would it make sense to have possible default value in `get_device` like in `getattr`? 
We'd use `get_device(model, ""cpu"")`, and `Separatable` would be 100% accurate? ",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:29:40Z,"I agree. 
I don't remember how it evolved but [this line](https://github.com/mpariente/asteroid/blob/master/asteroid/models/base_models.py#L31) annoys me. Asking users to overwrite a ""private"" method doesn't seem right.  

I'd call it `inference_forward` or `wav2wav_forward` or IDK. Let's come up with a good name. 
Because this is the interface we're providing users for their own separatable, I think it is worth it, even for a pretty name. ",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:36:34Z,"I think this is fine. I was thinking of making it optional since the beginning. 
I guess you left it as a positional argument on purpose, to force people to know it's better to provide it?",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:39:10Z,"That's more confusing than clarifying IMO. This is enough:
> `LambdaOverlapAdd` can be used with `foo.separate` and the `asteroid-infer` CLI 
",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:43:30Z,This also doesn't seem right. We should change the name. ,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:46:33Z,"I would be more flexible here
```python
separate_func = getattr(model, ""_separate"", model)
out_wavs = separate_func(wav, **kwargs)
```

This will call `_separate` where possible, `__call__` (calls `forward`) for `nn.Module` and also supports plain functions, is that useless? ",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:52:47Z,We could check that the model does have `sample_rate` and raise an informative error otherwise.,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T13:59:59Z,"This is wrong, no? 
Calling `separate` on this class would return `nnet._separate(*args, **kwargs)` instead of using the OLA we want. This should be `self.forward`. 
Or am I mistaken? ",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T14:02:02Z,"A bit unrelated but we should be able to pass kwargs from here to the network.
With a warning that we don't segment the kwargs so they are shared between chunks.  ",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T14:02:33Z,Also not clear to me where to put this yet ^^,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T14:27:15Z,No because I didn’t want to break the interface ,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T14:29:02Z,Oh... Didn’t think about that. I will check if there is a better way. ,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T14:31:48Z,Oops ,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-04T15:41:09Z,Ok. ,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-19T10:44:32Z,"I think ""separatable"" would be more common, but from a quick Google it seems the more appropriate term would be ""separable"". Shall we change to that?",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-19T12:12:22Z,"<img width=""528"" alt=""Bildschirmfoto 2020-11-19 um 13 10 34"" src=""https://user-images.githubusercontent.com/175722/99664594-b2d1ee80-2a68-11eb-967f-ad0618f2c893.png"">

What do you think about this? It is autogenerated from `--help`.

Or do you want actual Python code docs for people that want to work on the CLI code itself?",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-19T12:19:24Z,"I think this is reasonable, but it's a bit ugly. 
Anyway, we should probably change the way we make CLI (using `click`, `typer` or `fire` which I discovered only recently), so yes, it does look fine for now. ",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-19T12:59:41Z,@mpariente ,305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-19T14:32:54Z,"I thought that this was a naming convention. That because the method was `separate`, we called it `Separatable`. Isn't this the case? ",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-19T14:40:34Z,"I don't know of any. It's just a pattern that has been used since forever by all UNIX commands. For example it makes it possible to use the program with `xargs`:

```
# Inference on all .wav files in /foo
find /foo | grep 'wav$' | xargs asteroid-infer -m mymodel
```",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-19T14:44:52Z,"Yes but seems like to proper name would be ""separable"".

We could also call the interface `Separate`, which is common eg. in Rust (eg. https://doc.rust-lang.org/reference/special-types-and-traits.html#copy instead of Copyable).

Let's just pick any name, I don't really care :D",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-19T14:57:27Z,"Ok, thanks. I haven't been using UNIX for so long so I don't know much.
Note that we support globs in --files, but I understand the point. ",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-24T20:35:17Z,"```suggestion
from .dsp.overlap_add import LambdaOverlapAdd
from .utils import get_device
```",305
github.com/asteroid-team/asteroid,asteroid/scripts/asteroid_cli.py,2020-11-19T08:22:47Z,Should we fix this and merge it? ,305
