repo_url,filepath,commit_date,message
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2024-02-27T11:11:47Z,"[Update] An example for Gemma model was initially added.
[Update] An example for Transformer Reinforcement Learning (TRL) library to train small LLMs (sLLMs) was initially added."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2024-02-21T12:45:57Z,[Update] Examples for DINO and DPT models were implemented in hugging_face_transformers_test.py.
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2024-02-16T06:16:19Z,[Update] Placeholders for examples of Hugging Face TRL library were added.
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2024-02-08T03:52:31Z,"[Update] Several examples for stable diffusion models of Stability AI were implemented.
[Update] Information about Transformer Reinforcement Learning (TRL) library was moved from hugging_face_test.py to hugging_face_transformers_test.py."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2024-01-31T08:31:27Z,[Update] A test was added to fine-tune a ResNet model using Dog/Cat dataset in pytorch_transfer_learning.py.
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2024-01-28T13:07:24Z,"[Update] An example of Zephyr-7B was added in hugging_face_transformers_test.py, but was not tested.
[Update] The information about Transformer Reinforcement Learning (TRL) was described in hugging_face_test.py."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2024-01-11T04:04:23Z,"[Update] An example for retrieval-augmented generation (RAG) was added in hugging_face_transformers_test.py.
[Update] Information about TableMASTER-mmocr was removed from mmocr_usage_guide.txt."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-12-24T02:40:32Z,"[Update] A few examples for Mistral-7B and Mixtral-8x7B models were added.
[Update] The installation of TensorFlow 2 were updated."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-12-23T12:07:02Z,"[Update] An example of ORCA-2 model was added.
[Update] The examples for ViT, ViLT, BEiT, LayoutLM, and Donut models were merged respectively.
[Update] The information about data preparation, training, evaluation, visualization, and model export were supplemented in paddle_ocr_usage_guide.txt."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-11-24T08:49:41Z,"[Update] A customized version of ViT model was implemented and tested, which doesn't have classification token and head."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-11-20T04:48:59Z,"[Update] A few examples for Falcon model were initially implemented.
[Update] A few examples for StarCoder and Replit models were implemented, but yet tested."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-11-10T01:27:50Z,[Update] LLMs Yi-6B & Yi-34B were tested.
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-11-06T12:24:53Z,"[Update] The forecasts of transformers.TimeSeriesTransformerForPrediction were evaluated by MASE, MAPE, sMAPE.
[Update] Metrics for evaluating ML models' performance in evaluate library were tested."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-11-03T10:46:04Z,"[Update] Two examples for phi-1 & phi-1.5 models were initially added.
[Update] A few examples for Kosmos-2 model were initially added."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-10-12T12:13:43Z,[Update] A few examples for Probabilistic time series transformer model were added.
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-10-07T08:51:44Z,[Update] Several examples for Perceiver IO model were initially committed.
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-09-26T10:56:44Z,"[Update] A simple example for Code Llama model was initially added.
[Update] A few commands were explained to profile Python scripts."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-09-21T12:31:58Z,[Update] A simple example for OpenLLaMA models was implemented.
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-09-04T03:59:25Z,"[New] A few examples for PID, MPC, LQR using python-control library was initially added.
[Update] A simple example for trajectory transformer models was added in hugging_face_transformers_test.py."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-09-02T12:30:02Z,"[New] An example for model predictive control (MPC) was initially committed.
[Update] A test for CodeParrot model was initially implemented in hugging_face_transformers_test.py."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-08-31T06:01:24Z,"[Update] Memory footprint and computing performance (FLOPS) Hugging Face transformers models was measured.
[Update] A simple test for Hugging Face datasets was added."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-08-04T08:13:21Z,[Update] An example for OpenFlamingo library was added.
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-07-25T12:07:07Z,"[Update] A few examples for Llama 2 model were added in hugging_face_transformers_test.py.
[Update] Model parallelism was tested based on Hugging Face Accelerate library in hugging_face_transformers_test.py.
[Update] Information about Hugging Face Accelerate library was reinforced."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-07-22T06:48:12Z,"[Update] Cross references about transformer and ViT models were reinforced.
[Chore] vit_test.py was moved from sw_dev/python/rnd/test/machine_learning/vit_test.py to sw_dev/python/rnd/test/machine_vision/vit_test.py.
[Update] The installation of node.js was explained."
github.com/sangwook236/SWDT,sw_dev/python/rnd/test/language_processing/hugging_face_transformers_test.py,2023-07-17T01:20:26Z,"[Update] Several examples for CodeBERT, CodeBERTa, CodeT5+, CodeGen2, & CodeGen2.5 models were added.
[Update] An example of SpeechT5 model was divied into 3 examples: ASR, TTS, & speech-to-speech."
